material_type,durability_score,weight_capacity_kg,biodegradability_score,recyclability_percent,co2_emission_score,cost_per_unit_usd
Seaweed Packaging,6,18,5,60,4.73,0.71
Mycelium Packaging,8,14,5,61,3.52,0.47
Biodegradable Plastic,8,3,8,86,3.22,0.64
Recycled PET,7,10,6,61,3.77,0.8
Bagasse Fiber,9,18,8,89,2.58,0.55
Recycled Cardboard,7,15,9,69,2.4,0.77
Paper Foam,9,17,6,78,3.22,1.07
Mycelium Packaging,6,14,9,75,2.68,1.1
Paper Foam,5,10,7,72,2.73,0.44
Bamboo Fiber Packaging,7,12,6,67,4.68,0.53
Corrugated Board,7,16,8,90,3.59,0.62
Bagasse Fiber,9,7,8,84,3.45,0.88
Bagasse Fiber,6,17,6,98,4.07,0.69
Mycelium Packaging,6,8,8,80,4.85,1.08
Recycled PET,9,13,6,97,2.34,0.97
PLA Bioplastic,6,13,5,88,4.5,0.48
Mycelium Packaging,8,12,8,65,3.75,0.9
Paper Foam,5,4,6,77,2.44,0.49
Mycelium Packaging,7,11,6,94,2.89,0.6
Bagasse Fiber,5,16,8,86,3.45,0.54
PLA Bioplastic,7,12,5,64,4.07,0.54
Biodegradable Plastic,8,6,8,66,2.73,0.89
Recycled Paper Wrap,6,8,6,69,3.6,0.85
Seaweed Packaging,9,16,5,69,4.05,0.54
Molded Pulp,8,6,9,87,3.35,1.19
Honeycomb Paperboard,5,17,7,95,4.59,0.74
Mycelium Packaging,9,18,8,69,4.61,0.48
Bamboo Fiber Packaging,6,9,6,94,3.41,0.5
Kraft Paper,8,19,5,94,4.92,0.87
Corrugated Board,9,19,5,96,2.23,1.18
Recycled Paper Wrap,8,8,9,79,2.01,0.86
Seaweed Packaging,8,13,8,72,3.14,1.16
Seaweed Packaging,6,18,5,70,3.8,0.76
Seaweed Packaging,7,10,9,78,3.89,0.75
Seaweed Packaging,9,13,6,87,3.43,0.8
Paper Foam,6,9,9,97,2.37,0.96
Bamboo Fiber Packaging,8,12,8,63,2.51,0.69
Bamboo Fiber Packaging,6,11,9,96,4.56,1.09
PLA Bioplastic,7,6,5,78,4.6,0.42
Honeycomb Paperboard,9,17,5,96,4.02,0.75
Bagasse Fiber,7,15,7,73,3.99,0.81
Seaweed Packaging,5,4,9,90,3.79,0.89
Kraft Paper,9,4,6,87,2.61,0.62
Bagasse Fiber,7,18,8,95,3.28,0.74
Bamboo Fiber Packaging,8,11,7,97,4.09,0.79
Recycled Cardboard,9,15,9,78,3.61,0.95
Recycled Cardboard,9,5,6,60,2.06,1.02
Kraft Paper,6,11,7,82,4.86,0.99
PLA Bioplastic,8,15,5,87,4.53,0.67
Bamboo Fiber Packaging,5,4,8,63,2.78,1.2
Kraft Paper,7,10,9,77,3.85,1.08
Paper Foam,6,11,6,98,4.77,0.61
Mycelium Packaging,7,18,5,84,2.29,0.56
Kraft Paper,5,4,7,77,3.51,0.65
Biodegradable Plastic,5,8,8,65,3.37,0.76
Bagasse Fiber,9,10,7,78,3.23,1.08
Recycled Paper Wrap,5,7,7,71,4.51,1.02
Cornstarch Packaging,7,11,6,84,3.14,1.08
PLA Bioplastic,8,3,5,94,2.19,0.62
Kraft Paper,8,11,9,60,2.2,0.87
Bamboo Fiber Packaging,9,12,6,64,2.13,0.63
Corrugated Board,7,6,8,60,3.23,0.49
Recycled Cardboard,7,5,7,67,4.16,0.95
Biodegradable Plastic,5,12,8,98,2.61,0.51
Honeycomb Paperboard,7,17,6,77,3.94,0.93
Seaweed Packaging,6,13,6,68,4.06,0.92
Cornstarch Packaging,5,16,9,64,2.77,1.05
Recycled PET,6,8,7,63,3.8,0.51
PLA Bioplastic,9,14,6,88,4.05,1.03
Recycled Paper Wrap,8,15,8,60,3.4,1.2
Cornstarch Packaging,9,19,9,89,3.01,1.08
Kraft Paper,8,18,8,60,3.86,1
Paper Foam,9,5,7,62,4.93,0.93
Recycled Cardboard,7,4,9,81,3.28,0.74
Bamboo Fiber Packaging,6,13,9,67,3.18,0.98
Recycled Cardboard,8,11,9,77,3.39,0.98
Honeycomb Paperboard,5,5,5,84,2.23,0.91
Paper Foam,6,17,9,79,3.66,1.04
Seaweed Packaging,5,16,8,90,2.99,0.76
Bamboo Fiber Packaging,6,4,8,89,2.36,0.5
Bagasse Fiber,6,19,7,75,3.4,0.85
Molded Pulp,9,10,6,61,2.01,0.61
Biodegradable Plastic,8,12,6,76,3.21,0.71
Recycled Cardboard,8,10,5,69,2.32,0.41
Corrugated Board,6,10,9,66,2.07,0.71
Recycled Cardboard,7,5,5,68,4.47,1.05
Cornstarch Packaging,7,5,7,76,4.75,0.83
Recycled Cardboard,5,14,7,68,2.62,0.41
PLA Bioplastic,5,19,6,68,3.62,0.78
Recycled Cardboard,9,6,7,96,2.83,0.63
Molded Pulp,6,19,9,83,3.48,0.78
Molded Pulp,5,16,8,98,3.31,0.72
Seaweed Packaging,5,11,7,70,2.81,1.15
Recycled Paper Wrap,6,14,5,67,4.1,0.43
Bagasse Fiber,9,7,9,84,2.38,0.95
Corrugated Board,5,13,7,61,2.16,1.08
Recycled Cardboard,9,5,7,69,4.3,1.17
Recycled Cardboard,8,17,9,83,4,0.54
Biodegradable Plastic,9,16,7,75,3.5,0.83
Bamboo Fiber Packaging,7,13,8,78,3.4,0.43
Molded Pulp,7,10,6,90,3.49,0.8
Corrugated Board,9,6,9,70,3.31,0.5
Seaweed Packaging,7,14,5,65,3.18,1.07
Honeycomb Paperboard,8,10,7,65,3.5,0.49
Recycled Paper Wrap,6,8,6,91,3.59,0.81
Bagasse Fiber,7,17,5,98,4.08,0.82
Paper Foam,7,14,5,72,4.13,1.18
Bagasse Fiber,9,18,8,62,3.13,0.92
PLA Bioplastic,8,18,6,94,3.24,0.63
Cornstarch Packaging,6,6,9,97,3.12,0.59
PLA Bioplastic,9,13,6,76,3.61,0.5
Recycled Cardboard,9,15,6,62,3.36,1.01
Recycled PET,8,11,5,93,4.67,0.95
Recycled Paper Wrap,6,6,8,71,4.09,0.89
Cornstarch Packaging,8,14,8,83,4.7,0.43
Corrugated Board,6,11,6,65,4.13,1.01
Paper Foam,8,15,6,70,4.91,0.91
Molded Pulp,9,18,7,86,3.91,1.17
Recycled Paper Wrap,9,8,5,83,4.89,0.87
Recycled Paper Wrap,5,12,9,77,2.47,0.64
PLA Bioplastic,7,15,9,86,2.16,0.71
Recycled PET,8,9,8,80,3.74,0.54
Recycled Cardboard,5,19,5,93,4.95,0.98
Kraft Paper,7,15,8,92,3.25,0.97
Seaweed Packaging,8,15,9,77,2.64,0.56
PLA Bioplastic,6,4,6,62,3.56,0.53
Recycled Paper Wrap,7,12,5,83,3.95,0.46
Mycelium Packaging,9,15,5,60,2.95,1.13
Biodegradable Plastic,5,11,7,65,4.14,0.59
Paper Foam,7,3,6,78,4.93,0.68
Seaweed Packaging,7,16,6,81,4.69,0.62
PLA Bioplastic,9,18,8,67,2.87,0.73
Paper Foam,8,17,5,64,2.98,0.97
Biodegradable Plastic,6,3,8,68,3.11,1.1
Honeycomb Paperboard,9,19,6,80,3.18,0.55
Biodegradable Plastic,6,15,7,87,2.3,0.95
Recycled PET,8,17,5,63,4.29,0.68
Biodegradable Plastic,7,18,6,83,3.1,1.18
Paper Foam,6,18,7,67,4.64,0.64
Bagasse Fiber,5,4,9,76,4.78,0.41
Paper Foam,5,19,6,93,2.07,0.81
Kraft Paper,9,13,9,79,4.97,0.52
Recycled Cardboard,8,10,8,75,4.13,0.44
Cornstarch Packaging,9,5,9,69,3.56,0.96
Bagasse Fiber,9,14,6,93,3.17,0.99
Molded Pulp,9,18,9,69,3.56,0.77
Cornstarch Packaging,5,16,5,89,2.97,0.94
Recycled Cardboard,5,18,6,89,3.87,0.83
PLA Bioplastic,9,19,7,84,2.28,0.9
Seaweed Packaging,5,13,9,66,3.86,0.88
Kraft Paper,8,19,5,79,2.83,0.93
Kraft Paper,9,3,8,76,2.05,0.56
Molded Pulp,5,14,8,62,3.66,0.61
Bagasse Fiber,6,17,9,99,3.74,0.75
Recycled PET,9,16,8,95,3.28,0.76
Bamboo Fiber Packaging,9,3,7,85,2.22,1.02
Honeycomb Paperboard,8,15,6,69,4.68,0.69
Biodegradable Plastic,7,17,5,93,3.83,0.53
Bagasse Fiber,7,9,9,73,2.35,0.6
Seaweed Packaging,8,17,8,67,3.53,0.57
Honeycomb Paperboard,8,12,6,86,3.49,0.99
Kraft Paper,8,16,7,69,2.18,0.78
Paper Foam,7,8,8,74,3.82,0.97
Seaweed Packaging,8,16,8,96,4.42,0.73
Recycled Cardboard,5,14,5,81,4.25,1.11
Molded Pulp,9,13,7,90,2.61,1.19
Recycled Cardboard,9,4,7,61,4.59,0.94
Bamboo Fiber Packaging,6,3,9,90,3.03,1.09
Seaweed Packaging,6,10,5,73,4.84,0.81
Corrugated Board,9,16,9,69,2.22,1.15
Corrugated Board,5,11,5,89,3.46,1.07
PLA Bioplastic,7,4,7,95,3.79,1.19
Bagasse Fiber,7,7,5,99,2.74,0.9
Kraft Paper,5,10,5,74,4.31,1.02
Kraft Paper,7,18,5,73,3.88,0.83
Biodegradable Plastic,8,18,6,90,2.05,0.61
Biodegradable Plastic,9,15,6,88,3.83,0.68
Biodegradable Plastic,9,17,7,86,3.47,1.12
Paper Foam,5,3,5,80,2.59,0.44
Cornstarch Packaging,7,5,7,68,4.99,0.87
Recycled Paper Wrap,6,8,6,79,4.69,0.7
Cornstarch Packaging,6,16,5,94,2.88,0.71
Recycled Cardboard,7,6,9,74,3.62,1.11
Cornstarch Packaging,6,17,6,83,2.95,1.08
Paper Foam,5,11,6,75,4.33,0.88
PLA Bioplastic,5,5,6,95,4.79,0.62
Recycled Cardboard,7,12,5,70,3.08,0.78
Cornstarch Packaging,6,19,8,67,4.42,0.73
Paper Foam,5,9,9,62,3.5,0.68
Recycled Paper Wrap,5,17,9,78,3.19,0.48
Cornstarch Packaging,8,3,7,62,4.82,0.83
Paper Foam,8,13,5,95,3.53,0.64
Bamboo Fiber Packaging,5,19,6,84,3.4,0.93
Biodegradable Plastic,7,7,8,95,4.02,0.66
Bamboo Fiber Packaging,9,9,5,70,2.78,0.74
Kraft Paper,9,17,5,75,2.97,0.44
Biodegradable Plastic,5,5,8,76,4.8,1.19
Kraft Paper,5,17,6,83,4.04,0.81
Mycelium Packaging,5,7,5,76,4.48,0.42
Molded Pulp,7,14,9,79,2.81,0.83
Bamboo Fiber Packaging,8,7,9,81,3.63,1.1
Molded Pulp,5,5,8,65,4.91,1.02
Molded Pulp,5,11,6,66,2.96,0.96
Recycled Paper Wrap,6,11,8,73,2.48,0.51
Biodegradable Plastic,7,9,5,70,3.53,0.93
Mycelium Packaging,5,4,9,71,3.16,1.01
Kraft Paper,6,18,7,64,2.48,0.86
Paper Foam,9,11,8,64,4.67,1.11
Recycled Cardboard,5,15,7,79,4.97,0.62
Paper Foam,5,19,7,74,3.71,0.59
Recycled Cardboard,6,8,9,85,4.32,1.1
Bamboo Fiber Packaging,7,6,8,92,4.58,0.9
Corrugated Board,5,3,7,89,4.1,0.4
Paper Foam,9,11,5,83,2.13,0.68
Cornstarch Packaging,5,15,6,82,2.47,1.09
Cornstarch Packaging,9,10,6,68,2.21,0.42
Bagasse Fiber,8,15,9,62,2.03,0.4
Biodegradable Plastic,8,17,8,95,2.92,0.63
Recycled Cardboard,9,13,8,66,3.18,1.13
Recycled Cardboard,7,14,6,81,2.72,1.12
Seaweed Packaging,5,16,5,73,2.19,0.82
PLA Bioplastic,5,6,6,88,3.59,0.84
Biodegradable Plastic,8,3,6,75,2.82,0.67
Recycled Paper Wrap,9,6,8,93,4.39,0.59
Bagasse Fiber,5,11,7,69,2.02,1.05
Recycled Paper Wrap,5,12,5,66,4.53,0.49
Bamboo Fiber Packaging,7,6,8,84,4.86,0.79
Bamboo Fiber Packaging,6,11,6,86,4.15,0.91
Recycled Paper Wrap,8,15,7,74,4.2,0.48
Recycled Paper Wrap,8,14,5,91,4.8,0.82
Mycelium Packaging,6,13,9,87,2.63,0.86
Biodegradable Plastic,5,14,5,68,4.98,0.99
Recycled Paper Wrap,7,14,5,66,4.32,0.59
Cornstarch Packaging,7,18,6,75,4.18,0.63
PLA Bioplastic,8,7,6,85,3.08,0.86
PLA Bioplastic,7,14,9,94,3.64,1.19
Molded Pulp,6,13,9,76,3.96,0.57
Corrugated Board,5,11,9,82,3.86,1.19
Bamboo Fiber Packaging,6,5,8,67,4.11,0.97
Recycled Cardboard,9,19,8,61,2.25,1.06
Seaweed Packaging,8,16,6,90,3.07,0.47
Recycled PET,7,3,6,91,3.3,0.64
Recycled Cardboard,9,19,9,88,2.78,0.45
Corrugated Board,7,10,8,62,2.52,0.7
Seaweed Packaging,5,7,7,67,2.42,1.19
Mycelium Packaging,5,7,8,61,3.1,0.48
Biodegradable Plastic,5,11,6,90,3.48,0.85
Paper Foam,7,5,8,96,2.19,0.4
Biodegradable Plastic,9,11,6,79,4.84,0.97
Recycled Cardboard,5,18,9,88,4.3,0.56
Recycled Cardboard,9,3,9,76,4.19,0.5
Seaweed Packaging,7,4,9,69,2.52,0.67
Seaweed Packaging,9,16,7,81,3.81,1.02
Bamboo Fiber Packaging,7,16,7,65,3.59,0.49
Mycelium Packaging,7,3,6,93,4.95,0.58
Bamboo Fiber Packaging,8,18,5,90,4.24,0.41
Corrugated Board,7,17,7,71,3.73,1.17
Recycled Paper Wrap,7,17,6,71,4.55,0.87
Biodegradable Plastic,6,14,8,75,2.47,0.98
Seaweed Packaging,5,18,9,84,2.05,0.92
Kraft Paper,8,16,9,81,4.07,0.52
Corrugated Board,8,17,9,86,2.29,0.88
Cornstarch Packaging,8,17,6,83,2.35,0.51
Mycelium Packaging,6,10,9,71,4.23,0.72
Recycled Cardboard,7,4,7,77,2.81,0.86
Bamboo Fiber Packaging,5,4,8,75,3.89,0.85
Corrugated Board,9,12,9,63,4.75,0.5
Recycled PET,7,5,6,71,2.95,0.43
Biodegradable Plastic,6,19,8,92,2.65,1.04
Seaweed Packaging,7,10,9,81,2.32,0.98
Recycled Cardboard,7,6,5,77,2.39,0.47
Paper Foam,6,16,9,92,2.19,0.5
Recycled PET,8,12,7,86,2.26,1.11
Mycelium Packaging,8,3,8,78,3.3,1.02
Corrugated Board,5,6,7,73,2.96,1.2
Bagasse Fiber,5,3,5,84,4.12,0.6
Recycled Cardboard,8,19,5,93,4.61,0.79
Biodegradable Plastic,9,19,7,83,4.35,0.59
Molded Pulp,7,9,8,97,3.59,0.9
Kraft Paper,9,17,5,82,2.31,0.49
Honeycomb Paperboard,7,15,5,64,4.13,0.5
Recycled PET,8,4,9,95,3.09,0.46
Recycled Paper Wrap,5,15,6,83,2.26,0.95
Honeycomb Paperboard,5,13,5,95,4.53,0.8
Biodegradable Plastic,9,17,8,64,3.01,0.89
Cornstarch Packaging,5,12,8,98,2.65,1.1
Bamboo Fiber Packaging,8,11,9,65,4.61,0.99
Cornstarch Packaging,9,11,8,95,4.71,0.77
Molded Pulp,7,3,9,63,3.02,1.19
Recycled PET,5,19,5,69,3.06,0.77
Recycled Paper Wrap,6,14,5,60,3.74,0.49
Bagasse Fiber,5,12,5,80,4.2,1.19
Molded Pulp,7,7,5,99,2.19,0.42
Recycled PET,9,17,6,98,3.78,0.84
PLA Bioplastic,7,8,6,96,4.86,0.65
Honeycomb Paperboard,6,9,5,62,2.79,0.8
Molded Pulp,8,19,8,90,4.73,0.85
Honeycomb Paperboard,5,8,9,86,4.85,0.59
Recycled Cardboard,9,10,7,76,2.81,0.85
Cornstarch Packaging,8,14,9,82,4.26,1
Recycled Cardboard,7,16,7,72,2.72,0.61
Kraft Paper,9,14,7,86,4.21,0.71
PLA Bioplastic,8,12,5,79,4.39,0.61
Recycled Paper Wrap,9,17,7,72,2.74,1.06
Bagasse Fiber,6,9,5,83,4.15,0.98
Mycelium Packaging,6,11,6,62,4.44,1.1
Honeycomb Paperboard,5,12,8,69,3.08,0.54
Bagasse Fiber,5,12,7,60,2.5,0.46
Honeycomb Paperboard,6,18,8,72,2.28,0.5
Biodegradable Plastic,9,9,5,73,3.73,0.53
Molded Pulp,6,7,7,92,4.93,0.83
Kraft Paper,5,5,9,61,4.47,1.18
Cornstarch Packaging,6,13,6,61,3.31,0.69
Mycelium Packaging,6,17,6,98,3.61,1.17
Seaweed Packaging,9,7,7,90,2.84,0.43
Honeycomb Paperboard,8,14,6,63,2.49,1.14
Bagasse Fiber,5,6,9,93,3.45,0.54
Kraft Paper,9,17,8,78,3.39,1.13
Paper Foam,6,11,9,96,3.57,0.44
Mycelium Packaging,6,9,6,68,4.86,1.16
Paper Foam,8,12,8,83,3.81,0.56
Recycled Cardboard,5,15,9,72,3.82,0.64
Cornstarch Packaging,5,10,5,89,2.38,0.79
Bamboo Fiber Packaging,7,14,5,78,4.99,0.7
Bamboo Fiber Packaging,5,3,8,69,4.32,0.93
Seaweed Packaging,8,18,8,73,4.63,1.18
Biodegradable Plastic,7,19,8,99,3.24,0.89
Bagasse Fiber,7,13,5,79,3.51,0.98
Recycled PET,6,9,9,63,3.57,0.47
Seaweed Packaging,6,10,8,97,2.58,0.9
Molded Pulp,5,8,5,98,4.07,0.76
Molded Pulp,7,9,8,64,4.71,1.11
Bagasse Fiber,6,12,8,91,2.49,0.71
Recycled PET,8,13,8,65,2.26,0.94
Recycled Paper Wrap,6,15,5,73,4.21,0.58
Biodegradable Plastic,6,11,9,65,2.82,0.61
Kraft Paper,7,9,5,73,3.87,0.7
Honeycomb Paperboard,7,11,5,71,4.09,0.64
Recycled PET,9,15,8,86,2.97,0.6
Bamboo Fiber Packaging,8,5,7,85,4.45,0.44
Mycelium Packaging,7,5,7,71,3.65,1.07
Recycled Paper Wrap,5,3,7,67,4.61,0.45
Honeycomb Paperboard,8,4,5,69,4.29,1.11
Honeycomb Paperboard,8,5,8,75,4.61,0.5
Recycled Paper Wrap,7,17,7,85,2.06,0.45
